problem,algorithm,best,median,mean,std,worst,feas_rate,mean_gap
CantileverBeam,AOA,1.3403911578599912,1.343349583490849,1.3449152745640744,0.004405999836973164,1.3584173169408957,1.0,0.0036998742080156543
CantileverBeam,CMAES,1.3399563566965391,1.3399563575501658,1.339956357467058,4.5850218420319344e-10,1.339956358598834,1.0,0.0
CantileverBeam,DE,1.3399712581871317,1.340027720837639,1.340037433340815,6.103801481206445e-05,1.3402405933342134,1.0,5.957900519751184e-05
CantileverBeam,GWO,1.3400076182504512,1.3400740502533255,1.3401131067712526,0.0001104423284025703,1.3404040637176478,1.0,0.00011605350143368739
CantileverBeam,HHO,1.3584223737344523,1.4673773558654435,1.5573269861266688,0.19592450080563972,2.0760049963914717,1.0,0.16222109276194158
CantileverBeam,LSHADE,1.3399563561864867,1.3399563565884833,1.3399563580950078,5.457474078132277e-09,1.3399563837324575,1.0,0.0
CantileverBeam,PSO,1.3399589120654853,1.3399864477235566,1.3400048640006248,5.51357284589586e-05,1.3401682498182463,1.0,3.5272758350534865e-05
CantileverBeam,RS,2.2465940702353637,3.20179230410801,3.112058834810293,0.4048437832223449,3.970803189070152,1.0,1.3225054545086303
CantileverBeam,SCA,1.3669750115237584,1.3981498214794503,1.4035150167668216,0.021732035486113653,1.450630127467715,1.0,0.047432408881311894
CantileverBeam,SSA,1.3399660061566638,1.3400055678271434,1.3400331058832473,0.00010113369745676282,1.34046255469247,1.0,5.634945706286522e-05
CantileverBeam,WOA,1.3399943260832832,1.340133758044185,1.340176446362931,0.00013236028347777428,1.3404654812658656,1.0,0.00016332334913520972
DiscBrake,AOA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,CMAES,0.08331503717320131,0.12497255575980196,0.11664105204248182,0.01700661074794631,0.12497255575980196,1.0,0.0
DiscBrake,DE,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,GWO,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,HHO,0.08331503717320131,0.12497255575980196,0.11957374135097851,0.02138835109284152,0.17697094072495878,1.0,0.0
DiscBrake,LSHADE,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,PSO,0.08331503717320131,0.08331503717320131,0.09664544312091351,0.019832945833126798,0.12497255575980196,1.0,0.0
DiscBrake,RS,0.09218563818987746,0.11938554738465788,0.11667731858807487,0.01328705504739852,0.13666116538674816,1.0,0.0
DiscBrake,SCA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,SSA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
DiscBrake,WOA,0.08331503717320131,0.08331503717320131,0.0833150371732013,0.0,0.08331503717320131,1.0,0.0
GearTrain,AOA,8.887614372714457e-10,2.3576406580248844e-09,6.631387131352363e-09,9.509406923614731e-09,2.7264505977152865e-08,1.0,10.0
GearTrain,CMAES,2.307815733312755e-11,9.74565344700916e-10,1.0508251909697728e-09,9.091056238461199e-10,3.2999231605492454e-09,1.0,9.705354096773412
GearTrain,DE,2.7008571488865134e-12,2.307815733312755e-11,2.9672051717407353e-10,4.2359382016912255e-10,1.3616491390639914e-09,1.0,8.421416387093645
GearTrain,GWO,2.7008571488865134e-12,8.887614372714457e-10,7.671141188731534e-10,7.438777523054359e-10,2.3576406580248844e-09,1.0,8.912492892471292
GearTrain,HHO,2.307815733312755e-11,2.3576406580248844e-09,0.00010978221527817623,0.0005488857032559839,0.0027444335907090608,1.0,9.901784698924471
GearTrain,LSHADE,2.7008571488865134e-12,2.7008571488865134e-12,1.692392313658378e-11,3.037220561652558e-11,1.5450450499890773e-10,1.0,3.417846989244704
GearTrain,PSO,2.7008571488865134e-12,1.1661157678109714e-10,1.267792592398341e-09,3.631285502489672e-09,1.8273802352995788e-08,1.0,7.312492892471292
GearTrain,RS,2.7008571488865134e-12,1.0474505705788363e-08,2.1483239323966383e-08,2.9622820883786616e-08,1.4044751420331348e-07,1.0,9.10178469892447
GearTrain,SCA,2.7008571488865134e-12,2.3576406580248844e-09,2.2571050122450093e-09,1.995526997775964e-09,8.700833999836797e-09,1.0,9.10178469892447
GearTrain,SSA,9.939875595217474e-11,2.3576406580248844e-09,5.993041434562287e-09,8.227938231108208e-09,2.7264505977152865e-08,1.0,10.0
GearTrain,WOA,2.7008571488865134e-12,9.921579583985335e-10,1.0918551388350785e-09,7.854697525367262e-10,2.3576406580248844e-09,1.0,9.501784698924471
IBeamDeflection,AOA,0.013074476876363027,0.013076896271006899,0.013078492710296898,7.544294797751819e-06,0.013113371967869492,1.0,0.0003359856737288364
IBeamDeflection,CMAES,0.013074119059188007,0.013074133001139712,0.0130741460406988,2.6583659817834863e-08,0.01307422255089621,1.0,3.5215195539347497e-06
IBeamDeflection,DE,0.013074118904744294,0.013074118904801669,0.013074118904815716,4.505272616250129e-14,0.013074118904921299,1.0,1.4459745388109618e-06
IBeamDeflection,GWO,0.013074193323289698,0.013074738510401286,0.01307482426330771,6.195186711983304e-07,0.01307672143565295,1.0,5.539680036931162e-05
IBeamDeflection,HHO,0.013074118904783182,0.013079972917112343,0.013383713653526695,0.0005209634245650547,0.015432195322809698,1.0,0.02368145061814531
IBeamDeflection,LSHADE,0.013074118904770773,0.01307411890489737,0.013074118904903415,8.059867525253432e-14,0.013074118905115025,1.0,1.4459812465640847e-06
IBeamDeflection,PSO,0.013074118904738667,0.013074118904805476,0.013092585606769418,5.537216017775646e-05,0.013335111403725083,1.0,0.0014139104618611214
