problem,test,base,stat,p,A12,median_diff,p_holm,outcome
PressureVessel,GWO,DE,0.0,5.960464477539063e-08,1.0,0.0005109331918071525,1.609325408935547e-05,loss
PressureVessel,GWO,PSO,73.0,0.014722049236297607,0.3936,-0.05730902016630026,1.0,tie
PressureVessel,GWO,LSHADE,80.0,0.02550506591796875,0.8368000000000001,0.0005109331918071525,1.0,tie
PressureVessel,GWO,CMAES,43.0,0.0007149577140808105,0.20159999999999997,-0.05730901792176714,0.07578551769256592,tie
PressureVessel,GWO,RS,0.0,5.960464477539063e-08,0.004799999999999968,-0.4884746446758642,1.609325408935547e-05,win
PressureVessel,WOA,DE,0.0,5.960464477539063e-08,1.0,0.057851610462318806,1.609325408935547e-05,loss
PressureVessel,WOA,PSO,108.0,0.14847958087921143,0.6384000000000001,3.1657104211393894e-05,1.0,tie
PressureVessel,WOA,LSHADE,7.0,1.1324882507324219e-06,0.9344,0.057851610462318806,0.00016987323760986328,loss
PressureVessel,WOA,CMAES,137.0,0.507703959941864,0.5631999999999999,3.165934874451576e-05,1.0,tie
PressureVessel,WOA,RS,2.0,1.7881393432617188e-07,0.0432,-0.4311339674053526,2.8252601623535156e-05,win
PressureVessel,SCA,DE,0.0,5.960464477539063e-08,1.0,0.23225302544667495,1.609325408935547e-05,loss
PressureVessel,SCA,PSO,10.0,2.562999725341797e-06,0.8704,0.17443307208856754,0.00037163496017456055,loss
PressureVessel,SCA,LSHADE,0.0,5.960464477539063e-08,0.9968,0.23225302544667495,1.609325408935547e-05,loss
PressureVessel,SCA,CMAES,24.0,4.5418739318847656e-05,0.8608000000000001,0.17443307433310065,0.005450248718261719,loss
PressureVessel,SCA,RS,33.0,0.00018787384033203125,0.18719999999999998,-0.25673255242099646,0.02122974395751953,win
PressureVessel,SSA,DE,0.0,5.960464477539063e-08,1.0,0.08648904924122518,1.609325408935547e-05,loss
PressureVessel,SSA,PSO,134.0,0.457846462726593,0.6431999999999999,0.028669095883117765,1.0,tie
PressureVessel,SSA,LSHADE,0.0,5.960464477539063e-08,0.9840000000000001,0.08648904924122518,1.609325408935547e-05,loss
PressureVessel,SSA,CMAES,139.0,0.5424043536186218,0.616,0.028669098127650887,1.0,tie
PressureVessel,SSA,RS,0.0,5.960464477539063e-08,0.012800000000000011,-0.4024965286264462,1.609325408935547e-05,win
PressureVessel,HHO,DE,0.0,5.960464477539063e-08,1.0,0.6101544324025064,1.609325408935547e-05,loss
PressureVessel,HHO,PSO,1.0,1.1920928955078125e-07,0.9728,0.552334479044399,1.9669532775878906e-05,loss
PressureVessel,HHO,LSHADE,0.0,5.960464477539063e-08,1.0,0.6101544324025064,1.609325408935547e-05,loss
PressureVessel,HHO,CMAES,0.0,5.960464477539063e-08,0.976,0.5523344812889321,1.609325408935547e-05,loss
PressureVessel,HHO,RS,92.0,0.05875152349472046,0.6144,0.12116885453483506,1.0,tie
PressureVessel,AOA,DE,0.0,5.960464477539063e-08,1.0,0.06885140410531303,1.609325408935547e-05,loss
PressureVessel,AOA,PSO,101.0,0.10139739513397217,0.6672,0.011031450747205615,1.0,tie
PressureVessel,AOA,LSHADE,3.0,2.980232238769531e-07,0.9808000000000001,0.06885140410531303,4.649162292480469e-05,loss
PressureVessel,AOA,CMAES,107.0,0.14091521501541138,0.5904,0.011031452991738737,1.0,tie
PressureVessel,AOA,RS,6.0,8.344650268554688e-07,0.12799999999999997,-0.42013417376235834,0.00012600421905517578,win
TensionSpring,GWO,DE,0.0,5.960464477539063e-08,1.0,0.00522536774896046,1.609325408935547e-05,loss
TensionSpring,GWO,PSO,44.0,0.0008081197738647461,0.30879999999999996,-0.02361974144403907,0.08485257625579834,tie
TensionSpring,GWO,LSHADE,0.0,5.960464477539063e-08,1.0,0.005225318200854952,1.609325408935547e-05,loss
TensionSpring,GWO,CMAES,19.0,1.8298625946044922e-05,0.9647999999999999,0.0045545853705078925,0.002360522747039795,loss
TensionSpring,GWO,RS,0.0,5.960464477539063e-08,0.0,-0.37899132310470124,1.609325408935547e-05,win
TensionSpring,WOA,DE,0.0,5.960464477539063e-08,0.9952000000000001,0.05597964325957451,1.609325408935547e-05,loss
TensionSpring,WOA,PSO,114.0,0.2002161741256714,0.6095999999999999,0.027134534066574983,1.0,tie
TensionSpring,WOA,LSHADE,0.0,5.960464477539063e-08,0.9968,0.055979593711469,1.609325408935547e-05,loss
TensionSpring,WOA,CMAES,1.0,1.1920928955078125e-07,0.96,0.05530886088112195,1.9669532775878906e-05,loss
TensionSpring,WOA,RS,12.0,4.172325134277344e-06,0.08159999999999996,-0.3282370475940872,0.0005924701690673828,win
TensionSpring,SCA,DE,0.0,5.960464477539063e-08,1.0,0.03937127554933282,1.609325408935547e-05,loss
TensionSpring,SCA,PSO,161.0,0.978915274143219,0.5631999999999999,0.010526166356333293,1.0,tie
TensionSpring,SCA,LSHADE,0.0,5.960464477539063e-08,1.0,0.03937122600122731,1.609325408935547e-05,loss
TensionSpring,SCA,CMAES,0.0,5.960464477539063e-08,1.0,0.03870049317088026,1.609325408935547e-05,loss
TensionSpring,SCA,RS,1.0,1.1920928955078125e-07,0.03359999999999999,-0.3448454153043289,1.9669532775878906e-05,win
TensionSpring,SSA,DE,0.0,5.960464477539063e-08,1.0,0.041638254821123495,1.609325408935547e-05,loss
TensionSpring,SSA,PSO,94.0,0.06670159101486206,0.6528,0.012793145628123968,1.0,tie
TensionSpring,SSA,LSHADE,0.0,5.960464477539063e-08,1.0,0.04163820527301799,1.609325408935547e-05,loss
TensionSpring,SSA,CMAES,0.0,5.960464477539063e-08,0.9984000000000001,0.04096747244267093,1.609325408935547e-05,loss
TensionSpring,SSA,RS,47.0,0.0011548399925231934,0.13120000000000004,-0.34257843603253824,0.12010335922241211,tie
TensionSpring,HHO,DE,0.0,5.960464477539063e-08,1.0,0.06491005714934948,1.609325408935547e-05,loss
TensionSpring,HHO,PSO,102.0,0.10731470584869385,0.6528,0.03606494795634995,1.0,tie
TensionSpring,HHO,LSHADE,0.0,5.960464477539063e-08,1.0,0.06491000760124398,1.609325408935547e-05,loss
TensionSpring,HHO,CMAES,1.0,1.1920928955078125e-07,0.9952000000000001,0.06423927477089691,1.9669532775878906e-05,loss
TensionSpring,HHO,RS,12.0,4.172325134277344e-06,0.07039999999999999,-0.3193066337043122,0.0005924701690673828,win
TensionSpring,AOA,DE,0.0,5.960464477539063e-08,1.0,0.041870116902986546,1.609325408935547e-05,loss
TensionSpring,AOA,PSO,154.0,0.8325093984603882,0.5952,0.013025007709987019,1.0,tie
TensionSpring,AOA,LSHADE,0.0,5.960464477539063e-08,1.0,0.04187006735488104,1.609325408935547e-05,loss
TensionSpring,AOA,CMAES,0.0,5.960464477539063e-08,1.0,0.04119933452453398,1.609325408935547e-05,loss
TensionSpring,AOA,RS,49.0,0.0014527440071105957,0.08,-0.34234657395067514,0.14963263273239136,tie
WeldedBeam,GWO,DE,0.0,5.960464477539063e-08,0.96,0.24431259350276507,1.609325408935547e-05,loss
WeldedBeam,GWO,PSO,150.0,0.7509929537773132,0.5504000000000001,0.09960620826931468,1.0,tie
WeldedBeam,GWO,LSHADE,13.0,5.245208740234375e-06,0.8880000000000001,0.24431260379304742,0.0007238388061523438,loss
WeldedBeam,GWO,CMAES,0.0,5.960464477539063e-08,1.0,0.24431260366228397,1.609325408935547e-05,loss
WeldedBeam,GWO,RS,136.0,0.49078595638275146,0.41120000000000007,-0.03797809183958906,1.0,tie
WeldedBeam,WOA,DE,12.0,4.172325134277344e-06,0.9440000000000001,0.14131754417236683,0.0005924701690673828,loss
WeldedBeam,WOA,PSO,111.0,0.17295855283737183,0.5296,-0.0033888410610835584,1.0,tie
WeldedBeam,WOA,LSHADE,28.0,8.803606033325195e-05,0.8752000000000001,0.14131755446264918,0.010124146938323975,loss
WeldedBeam,WOA,CMAES,0.0,5.960464477539063e-08,1.0,0.14131755433188573,1.609325408935547e-05,loss
WeldedBeam,WOA,RS,112.0,0.18172985315322876,0.33599999999999997,-0.1409731411699873,1.0,tie
WeldedBeam,SCA,DE,4.0,4.172325134277344e-07,0.9456,0.11891203966037635,6.341934204101562e-05,loss
WeldedBeam,SCA,PSO,118.0,0.24106645584106445,0.48,-0.02579434557307403,1.0,tie
WeldedBeam,SCA,LSHADE,40.0,0.0004894733428955078,0.8880000000000001,0.1189120499506587,0.052863121032714844,tie
WeldedBeam,SCA,CMAES,0.0,5.960464477539063e-08,1.0,0.11891204981989527,1.609325408935547e-05,loss
WeldedBeam,SCA,RS,62.0,0.005578815937042236,0.2464,-0.16337864568197777,0.5355663299560547,tie
WeldedBeam,SSA,DE,0.0,5.960464477539063e-08,0.9743999999999999,0.25449875185856946,1.609325408935547e-05,loss
WeldedBeam,SSA,PSO,125.0,0.325391948223114,0.6144,0.10979236662511907,1.0,tie
WeldedBeam,SSA,LSHADE,0.0,5.960464477539063e-08,0.92,0.2544987621488518,1.609325408935547e-05,loss
WeldedBeam,SSA,CMAES,0.0,5.960464477539063e-08,1.0,0.25449876201808835,1.609325408935547e-05,loss
WeldedBeam,SSA,RS,160.0,0.9578450322151184,0.47040000000000004,-0.02779193348378467,1.0,tie
WeldedBeam,HHO,DE,0.0,5.960464477539063e-08,0.9904,1.0150154843084982,1.609325408935547e-05,loss
WeldedBeam,HHO,PSO,13.0,5.245208740234375e-06,0.8480000000000001,0.8703090990750478,0.0007238388061523438,loss
WeldedBeam,HHO,LSHADE,0.0,5.960464477539063e-08,0.9775999999999999,1.0150154945987806,1.609325408935547e-05,loss
WeldedBeam,HHO,CMAES,0.0,5.960464477539063e-08,1.0,1.0150154944680172,1.609325408935547e-05,loss
WeldedBeam,HHO,RS,14.0,6.556510925292969e-06,0.8719999999999999,0.7327247989661441,0.0008916854858398438,loss
WeldedBeam,AOA,DE,0.0,5.960464477539063e-08,0.9872,0.2989862554569667,1.609325408935547e-05,loss
WeldedBeam,AOA,PSO,138.0,0.5249125957489014,0.6224,0.15427987022351633,1.0,tie
WeldedBeam,AOA,LSHADE,9.0,1.9669532775878906e-06,0.9056000000000001,0.29898626574724907,0.0002911090850830078,loss
WeldedBeam,AOA,CMAES,0.0,5.960464477539063e-08,1.0,0.2989862656164856,1.609325408935547e-05,loss
WeldedBeam,AOA,RS,160.0,0.9578450322151184,0.5072,0.01669557011461259,1.0,tie
SpeedReducer,GWO,DE,123.0,0.2996123433113098,0.6656,0.015432093258182428,1.0,tie
SpeedReducer,GWO,PSO,98.0,0.08513903617858887,0.4144,-0.017135697356644337,1.0,tie
SpeedReducer,GWO,LSHADE,151.0,0.7711594104766846,0.544,0.006770186176963497,1.0,tie
SpeedReducer,GWO,CMAES,49.0,0.0014527440071105957,0.92,0.042846579962891186,0.14963263273239136,tie
SpeedReducer,GWO,RS,50.0,0.001625359058380127,0.22719999999999999,-0.022708810511447054,0.1625359058380127,tie
SpeedReducer,WOA,DE,129.0,0.3809836506843567,0.6287999999999999,0.00932242727017999,1.0,tie
SpeedReducer,WOA,PSO,72.0,0.013554692268371582,0.37760000000000005,-0.023245363344646774,1.0,tie
SpeedReducer,WOA,LSHADE,130.0,0.39571136236190796,0.488,0.0006605201889610599,1.0,tie
SpeedReducer,WOA,CMAES,49.0,0.0014527440071105957,0.92,0.03673691397488875,0.14963263273239136,tie
SpeedReducer,WOA,RS,17.0,1.233816146850586e-05,0.18400000000000005,-0.02881847649944949,0.001644208016370399,win
SpeedReducer,SCA,DE,96.0,0.07547956705093384,0.7376,0.03316009123481517,1.0,tie
